,ZipCode,Population,HouseholdsPerZipCode,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,Latitude,Longitude,Elevation,State,StateFullName,City,CountyName,CBSAType,CBSAName,MSAName,PMSA_Name,Region,Division,popden,Unnamed: 20,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Unnamed: 25,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total (tCO2e/yr)
3589,14098,2896,1479,2.72,69600,39167,43.337504,-78.379838,519,NY,New York,LYNDONVILLE,ORLEANS,Metro,"Rochester, NY","Rochester, NY MSA",,Northeast,Middle Atlantic,60.7730044971,,8163.47882959,8163.47882959,8163.47882959,20657,,14.202979892,10.611513212,8.16,5.05947492031,5.52767786242,43.5616458868
3590,14101,1949,1061,2.66,66900,36118,42.406602,-78.516633,1566,NY,New York,MACHIAS,CATTARAUGUS,Micro,"Olean, NY",,,Northeast,Middle Atlantic,49.7470189246,,8395.0686253,8395.0686253,8395.0686253,19136,,13.1671685331,10.0828099462,7.98,4.83185383362,5.25912495393,41.3209572668
3591,14102,1111,378,2.99,120800,66953,42.8349,-78.5548,583,NY,New York,MARILLA,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,453.120392579,,12686.4762264,12686.4762264,12686.4762264,28608,,20.1298644886,12.7299648949,8.97,6.96934206962,7.9511500765,56.7503215296
3592,14103,11612,4739,2.55,64800,34307,43.217648,-78.384671,519,NY,New York,MEDINA,ORLEANS,Metro,"Rochester, NY","Rochester, NY MSA",,Northeast,Middle Atlantic,140.770421046,,7571.02270312,7571.02270312,7571.02270312,20768,,14.1234083607,10.7542731821,7.65,4.68001942365,5.09719749657,42.304898463
3593,14105,4483,1793,2.68,72500,40068,43.210639,-78.490406,492,NY,New York,MIDDLEPORT,NIAGARA,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,102.55913994,,8662.68367712,8662.68367712,8662.68367712,25084,,16.9681244794,11.1702966468,8.04,5.110084328,5.60461796202,46.8931234162
3594,14108,5938,2241,2.68,79800,43750,43.2665,-78.7236,492,NY,New York,NEWFANE,NIAGARA,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,213.934577163,,8821.25005661,8821.25005661,8821.25005661,25975,,17.6529414945,11.0395626164,8.04,5.3639865459,5.92587816284,48.0223688196
3595,14111,3160,1345,2.64,80200,43319,42.587212,-78.907025,583,NY,New York,NORTH COLLINS,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,87.9202452085,,9500.44735476,9500.44735476,9500.44735476,23816,,16.3284937369,10.982176677,7.92,5.3077641633,5.88442326677,46.4228578439
3596,14113,775,298,2.78,85800,41750,42.672871,-78.336752,1322,NY,New York,NORTH JAVA,WYOMING,,,,,Northeast,Middle Atlantic,43.7411050346,,8703.27651012,8703.27651012,8703.27651012,26316,,17.8204568663,11.2703680683,8.34,5.18216551323,5.74499757371,48.3579880216
3597,14120,43144,18042,2.49,88300,43091,43.07124,-78.81414,492,NY,New York,NORTH TONAWANDA,NIAGARA,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,1323.48681719,,8381.77648434,8381.77648434,8381.77648434,20125,,14.0988658274,10.5132524412,7.47,5.22523882323,5.8548264806,43.1621835724
3598,14125,3839,1487,2.79,72600,41158,43.077542,-78.273589,895,NY,New York,OAKFIELD,GENESEE,Micro,"Batavia, NY","Rochester, NY MSA",,Northeast,Middle Atlantic,108.565562726,,8931.09984525,8931.09984525,8931.09984525,25038,,16.9548967083,11.7502702179,8.37,5.21927387711,5.70466453013,47.9991053335
3599,14127,27762,10675,2.63,141200,60141,42.764439,-78.74653,583,NY,New York,ORCHARD PARK,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,700.580213255,,9717.48503385,9717.48503385,9717.48503385,24860,,17.6684515101,11.2219249663,7.89,6.36825225864,7.33771335042,50.4863420855
3600,14129,1812,736,2.61,61100,34228,42.47067,-79.005996,1566,NY,New York,PERRYSBURG,CATTARAUGUS,Micro,"Olean, NY",,,Northeast,Middle Atlantic,56.8348912534,,8234.3344846,8234.3344846,8234.3344846,22672,,15.2728687668,9.67250703414,7.83,4.69997452922,5.09399448944,42.5693448196
3601,14131,5307,2024,2.73,91100,48565,43.231164,-78.913222,492,NY,New York,RANSOMVILLE,NIAGARA,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,125.545990214,,8753.34693841,8753.34693841,8753.34693841,27948,,19.0620336225,11.284562791,8.19,5.67264775144,6.34259975958,50.5518439245
3602,14132,5572,2177,2.66,102300,43639,43.147722,-78.875608,492,NY,New York,SANBORN,NIAGARA,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,225.764639958,,9009.62679548,9009.62679548,9009.62679548,24711,,16.9050805592,10.5675240302,7.98,5.3104065237,5.90952232456,46.6725334377
3603,14136,5429,2467,2.52,71200,36515,42.535231,-79.16461,1303,NY,New York,SILVER CREEK,CHAUTAUQUA,Micro,"Jamestown-Dunkirk-Fredonia, NY","Jamestown, NY MSA",,Northeast,Middle Atlantic,216.943672448,,8733.93949269,8733.93949269,8733.93949269,20561,,14.1017748586,10.9345017047,7.56,4.80011612091,5.28517725739,42.6815699417
